"","session.code","subsession.round_number","participant.id_in_session","player.id_in_group","player.t","player.vote","player.bid","player.lama","player.payoff","group.price","group.policy","group.uniforme","group.costo","player.why_accept","player.why_reject","player.other_accept","player.other_reject","player.age","player.gender","player.major","player.political","player.gpa","player.finalassets","player.lama_star","player.vote_cond","marca","total_yes","player.better.yes","player.change_vote","player.better.yes.lag","player.t.lag","player.vote.lag","group.policy.lag","total_yes.lag","player.bid.delta"
"1277","7o4740qq",40,5,5,-1,NA,96,0.55,100,100,0,1,35," To increase my own earnings"," To increase my own earnings",NA,NA,21,"Man","Science, technology, engineering and mathematics","Center",3.3,0,NA,NA,10,3,0,NA,0,-1,NA,1,6,-1
"1278","7o4740qq",41,5,5,-1,NA,96,0.55,99,99,0,1,20," To increase my own earnings"," To increase my own earnings",NA,NA,21,"Man","Science, technology, engineering and mathematics","Center",3.3,0,NA,NA,11,5,1,NA,0,-1,NA,0,3,0
"1279","7o4740qq",42,5,5,1,1,102,0.55,115,100,1,1,20," To increase my own earnings"," To increase my own earnings",NA,NA,21,"Man","Science, technology, engineering and mathematics","Center",3.3,2,0.4,1,11,7,1,NA,1,-1,NA,0,5,6
"1280","7o4740qq",43,5,5,1,1,103,0.55,115,100,1,1,20," To increase my own earnings"," To increase my own earnings",NA,NA,21,"Man","Science, technology, engineering and mathematics","Center",3.3,2,0.4,1,11,6,1,0,1,1,1,1,7,1
"1281","7o4740qq",44,5,5,1,1,102,0.55,100,100,0,1,20," To increase my own earnings"," To increase my own earnings",NA,NA,21,"Man","Science, technology, engineering and mathematics","Center",3.3,2,0.4,1,11,5,1,0,1,1,1,1,6,-1
"1282","7o4740qq",45,5,5,1,1,100,0.55,100,100,0,1,20," To increase my own earnings"," To increase my own earnings",NA,NA,21,"Man","Science, technology, engineering and mathematics","Center",3.3,2,0.4,1,12,5,1,0,1,1,1,0,5,-2
"1283","7o4740qq",46,5,5,-1,NA,99,0.55,155,100,1,1,20," To increase my own earnings"," To increase my own earnings",NA,NA,21,"Man","Science, technology, engineering and mathematics","Center",3.3,0,NA,NA,12,7,1,NA,1,1,1,0,5,-1
"1284","7o4740qq",47,5,5,-1,NA,97,0.55,100,100,0,1,20," To increase my own earnings"," To increase my own earnings",NA,NA,21,"Man","Science, technology, engineering and mathematics","Center",3.3,0,NA,NA,12,5,1,NA,1,-1,NA,1,7,-2
"1285","7o4740qq",48,5,5,-1,NA,97,0.55,155,100,1,1,20," To increase my own earnings"," To increase my own earnings",NA,NA,21,"Man","Science, technology, engineering and mathematics","Center",3.3,0,NA,NA,12,7,1,NA,1,-1,NA,0,5,0
"1286","7o4740qq",1,6,6,1,0,80,0.45,133,42,1,1,35," To increase my own earnings"," To increase my own earnings",NA,NA,21,"Woman","Science, technology, engineering and mathematics","Left",3.8,2,0.7,0,1,6,0,NA,0,-1,NA,0,2,-18
"1287","7o4740qq",2,6,6,1,0,80,0.45,150,50,0,1,35," To increase my own earnings"," To increase my own earnings",NA,NA,21,"Woman","Science, technology, engineering and mathematics","Left",3.8,2,0.7,0,1,3,0,0,0,1,0,1,6,0
"1288","7o4740qq",3,6,6,1,0,90,0.45,120,55,1,1,35," To increase my own earnings"," To increase my own earnings",NA,NA,21,"Woman","Science, technology, engineering and mathematics","Left",3.8,2,0.7,0,1,6,0,0,0,1,0,0,3,10
"1289","7o4740qq",4,6,6,1,0,80,0.45,140,60,0,1,35," To increase my own earnings"," To increase my own earnings",NA,NA,21,"Woman","Science, technology, engineering and mathematics","Left",3.8,2,0.7,0,1,2,0,0,0,1,0,1,6,-10
"1290","7o4740qq",5,6,6,1,0,90,0.45,135,65,0,1,35," To increase my own earnings"," To increase my own earnings",NA,NA,21,"Woman","Science, technology, engineering and mathematics","Left",3.8,2,0.7,0,2,5,0,0,0,1,0,0,2,10
